company_names,company_reviews,Reviews,Salaries,Interviews,jobs,Benefits,photos
Business Integrity Services,4.3,298 ,526,58,4,7,1
India Kawasaki Motors Pvt. Ltd.,3.7,111 ,685,10,--,8,--
DigitalTrack Solutions,3.8,135 ,847,16,--,7,--
Cytecare Cancer Hospital,4.7,169 ,437,14,8,12,4
Aarti Drugs,3.5,354 ,1.5k,23,1,27,--
Sonovision-Aetos,3.5,225 ,1k,18,--,12,--
EnFuse Solutions,4.1,286 ,681,38,36,8,1
Shell Recharge Solutions,4.7,107 ,123,26,6,2,6
Madhav Limaye Consulting,3.9,107 ,252,4,1,3,--
Genzeon (India) Private Limited,3.8,212 ,795,49,45,5,19
Oceaneering International,4.0,336 ,1.9k,42,5,38,16
KPI Partners,3.4,163 ,889,18,11,23,17
Lilac Insights,3.1,165 ,573,13,--,10,--
Dozco,3.9,145 ,495,4,--,6,--
OneBanc Technologies,4.8,210 ,211,40,2,12,20
Jio Payments Bank,3.8,133 ,696,13,--,13,1
Nivea,4.2,509 ,1.7k,29,8,49,--
Auto Mechanics,2.7,158 ,156,17,--,1,--
L. N. Malviya Infra Projects Group,3.1,474 ,1.2k,27,16,21,1
ESAB,4.0,318 ,1.5k,25,8,38,--
Allied Digital Services,3.2,761 ,3.3k,65,3,33,25
Hughes Systique Corporation,3.8,288 ,2.2k,41,3,31,753
Connect Broadband,4.2,170 ,662,11,1,11,--
Moreish Food,3.1,206 ,519,21,4,7,2
Securens System,3.9,245 ,741,8,189,28,--
You Broadband,3.7,329 ,998,17,--,27,--
AGILE AIRPORT SERVICES,3.8,220 ,421,17,--,11,--
Flyhomes,4.3,214 ,352,2,2,105,24
Shivalaya Construction,4.2,261 ,902,11,5,13,5
Pepperfry,3.1,490 ,2k,34,5,44,11
Towell Engineering Group,3.7,184 ,499,10,--,32,--
SFS Group,3.7,117 ,474,5,--,--,--
Lalitpur Power Generation,4.3,176 ,591,9,--,13,1
Essar Group,3.7,405 ,1.8k,33,--,49,--
Forbes Facility Services,4.2,135 ,494,7,3,12,--
Karam Safety,4.2,169 ,696,6,--,1,--
AirAsia,3.5,287 ,1.4k,30,7,47,--
Inox Green Energy Services,4.0,165 ,473,13,--,5,10
FCI CCM,4.3,286 ,534,30,14,22,223
Polaris,3.9,151 ,1.1k,23,--,12,--
Pyro Group,3.4,135 ,300,3,21,12,--
Mobile Premier League,3.7,187 ,1.4k,25,25,14,--
Coastal Projects,3.9,115 ,293,6,--,22,--
QR Crypher,4.2,123 ,9,2,--,1,--
Re Sustainability Limited,3.8,886 ,3k,58,62,77,3
National Institute of Technology,4.3,261 ,1.3k,15,--,14,--
Motovolt Mobility,4.1,143 ,404,21,--,7,4
HungerBox,3.7,298 ,1k,16,8,30,4
Border Roads Organisation,4.2,163 ,337,3,--,22,--
HP Computing and Printing Systems,3.9,165 ,906,8,--,10,--
iLink Digital,2.9,199 ,1.7k,22,26,1,--
JM Financial Home Loans,4.1,248 ,607,9,1,--,--
Gainwell Commosales,4.1,617 ,2.3k,45,6,49,1
Indian Institute of Technology Madras,4.1,141 ,1.1k,4,--,7,--
Goodricke Group,4.2,153 ,472,7,--,11,2
ONLEI Technologies,4.9,217 ,19,24,2,2,--
Gimatex Industries,3.3,111 ,523,5,--,4,--
Schoolnet India,4.0,408 ,1.1k,23,12,56,--
Invensis Technologies,3.6,398 ,1.8k,33,5,18,--
Ascolite - Aswani Industries Pvt. Ltd.,4.0,165 ,396,26,70,5,71
Prodocs Solutions,3.5,111 ,291,13,4,--,--
Nv Group,3.7,163 ,622,6,1,11,1
GKN,3.8,628 ,2.3k,35,27,80,--
Molecular Connections,3.1,303 ,1.4k,21,5,21,13
Vasu Healthcare,4.1,112 ,491,2,6,7,2
Pooja Forge,3.6,108 ,461,13,1,9,--
R.K. Group,3.3,131 ,773,6,11,9,--
Teleone,3.6,205 ,699,12,--,19,--
Oxigen Services,4.2,116 ,411,3,--,20,--
Expertise Contracting Company,3.5,259 ,866,24,--,15,5
T & T Infra,3.9,124 ,409,7,--,7,--
EOX Vantage,3.3,118 ,755,6,4,5,--
Advance Auto Parts,3.4,141 ,1.2k,11,--,20,--
Allianz,4.4,243 ,1.7k,20,45,39,8
Nichino,3.5,137 ,459,9,--,6,--
Indo Rama Synthetics (i),3.6,211 ,861,12,--,13,3
VeeTechnologies,3.8,916 ,4.4k,100,32,74,2
FinAdvantage,3.9,125 ,351,10,39,4,20
Andhra Paper,3.7,220 ,1k,21,3,7,1
Maschio Gaspardo,3.7,180 ,736,13,--,26,--
ATMECS Global,3.3,305 ,2.4k,37,8,23,--
Highbar Technocrat,3.9,275 ,1.2k,27,7,10,--
Faiveley Transport,4.0,216 ,806,13,26,32,3
Toyo INK,4.1,183 ,853,11,--,18,--
WAE,3.5,143 ,266,24,4,3,5
Anand CY Myutec Automotive,3.5,212 ,702,12,--,28,3
Envestnet Asset Management,4.1,237 ,1.8k,20,--,25,--
Blackboard Education and Reseach Foundation,3.6,111 ,527,13,2,6,--
Gatewaypark Business,4.6,259 ,3,19,--,--,--
Savista Global Solutions,4.1,338 ,1.3k,32,41,9,16
Bhate & Raje Construction Co.,4.0,134 ,427,5,--,13,--
Symbiosis International University,3.8,137 ,697,21,--,4,--
Manika Plastech Private Limited,4.1,191 ,546,13,2,4,1
INDIAN PUBLIC SCHOOL,3.9,277 ,1k,20,15,31,--
GAIN Credit,3.9,155 ,657,14,1,70,--
Piramal Realty,4.1,253 ,1.2k,12,--,8,--
Basavatarakam Indo American Cancer Hospital Research Institute,4.2,119 ,332,3,16,16,--
Thoucentric,3.9,146 ,1.4k,16,109,9,11
Malladi Drugs & Pharmaceuticals,3.6,278 ,1.3k,25,--,27,--
Carraro,4.0,351 ,1.4k,15,--,29,--
Vensar Constructions,4.2,115 ,435,9,--,1,--
Gsp Power Projects,3.9,140 ,487,7,--,5,--
CR Asia,4.1,176 ,638,11,--,33,--
Moser Baer,3.9,374 ,696,9,--,63,--
CASHe,3.4,130 ,782,11,9,5,--
Marathon Realty,3.8,231 ,820,10,14,21,8
Airblack,4.1,229 ,253,25,8,17,9
Sanyo Special Steel Manufacturing,4.1,155 ,672,8,3,15,--
Algonomy,3.9,256 ,1.3k,11,14,53,16
Gem Engserv,4.0,221 ,886,29,--,20,1
J B Chemicals And Pharmaceuticals,3.9,936 ,3.2k,59,3,81,--
Veena Developers,3.9,111 ,229,4,12,2,--
Altruist Customer Management India,4.1,298 ,1k,39,--,20,--
NewVision Software & Consultancy,3.5,118 ,1.1k,11,1,7,--
Cuemath,3.6,501 ,1.9k,49,30,86,--
TravelTriangle,3.5,232 ,951,15,7,43,3
Trimble,3.8,262 ,2.2k,33,49,27,12
Acadecraft,3.0,374 ,876,53,--,47,--
Gulf Asia Contracting,3.3,187 ,608,11,--,5,--
Accu Pack Engineering,3.3,109 ,474,3,5,14,1
Yutika Natural,3.4,410 ,933,23,6,1,--
GEETANJALI HOMESTATE,3.7,201 ,272,16,--,40,--
Finolex Plasson Industries,4.0,118 ,380,4,--,6,--
Internshala,3.7,302 ,933,64,1,18,4
Kama Ayurveda,3.9,200 ,765,19,7,15,--
Osam Dairy,3.9,188 ,442,9,3,1,--
Super Auto India,3.8,163 ,658,6,--,13,--
City Corporation Ltd (Amanora),3.9,113 ,539,7,13,17,3
Ftcash,4.0,121 ,538,8,--,10,--
Europ Assistance India,3.5,140 ,572,11,4,5,--
Arzooo.com,2.6,326 ,1.2k,25,--,13,--
Stanley Black & Decker,3.7,397 ,1.9k,27,34,29,2
Xoxoday,3.4,112 ,751,7,47,38,4
Gnrc Hospital,3.6,172 ,595,14,--,11,--
Net Access India,3.8,233 ,1.2k,31,17,18,--
Sangam India,3.8,237 ,889,18,--,14,1
GD Goenka International School,3.4,112 ,346,6,4,19,--
Robt Stone (ME) LLC,2.9,134 ,321,13,--,4,--
Integer Telecom Services,3.2,108 ,324,19,--,--,--
Bhandari Automobiles,3.7,296 ,865,15,--,21,--
ATC (Assam),4.1,150 ,715,8,1,7,--
SUN Mobility,3.9,256 ,1.4k,32,2,20,--
GTL Limited,4.3,248 ,587,10,3,39,--
Shangri-la Hotels & Resorts,4.3,217 ,521,5,--,38,3
Advanced Medtech Solutions,3.5,157 ,628,14,25,6,7
Acuvate Software,3.0,161 ,1k,11,2,15,--
FreshersNow,4.0,187 ,215,54,--,4,--
Sheela Foam,3.9,492 ,1.5k,30,4,34,6
Collman Services,3.9,233 ,740,12,--,8,--
Pradhan Mantri Kaushal Vikas Yojana,4.0,210 ,366,7,--,26,--
Arvind Technocrats & Engineers LLP,3.6,164 ,285,10,3,6,--
Nova IVF Fertility,3.7,132 ,474,7,2,8,--
MasterCard,3.9,949 ,11.3k,166,506,100,--
ATC Telecom Infrastructure,4.3,253 ,763,14,--,26,--
Cummins Sales and Service,4.0,138 ,195,5,--,1,--
Choice Solutions (India),3.4,128 ,652,8,--,10,--
Shindengen,3.8,107 ,572,6,--,6,--
NirogStreet,3.0,116 ,440,14,4,2,--
Sonyo Management Consultants,4.4,150 ,355,33,--,1,9
Community Health Center,4.3,145 ,443,6,--,2,--
Schenck Process India,3.3,109 ,596,13,--,10,--
Spoton Logistics,4.4,415 ,1.1k,18,--,59,--
University of Engineering and Management,4.5,151 ,300,21,--,18,--
Dr Mohan's Diabetes Specialities Centre,3.6,213 ,652,19,16,14,--
MapmyIndia,3.6,338 ,1.8k,30,--,23,--
Thermax Babcock Wilcox Energy Solutions,4.1,372 ,1.7k,24,--,22,1
NexTurn,3.9,184 ,287,37,40,6,7
Grihum Housing Finance,3.7,624 ,2k,28,8,7,3
Infotech,4.4,136 ,1.1k,50,--,18,3
Medha Servo Drives,4.3,885 ,3k,91,--,110,1
VITAE International Accounting Services,3.6,111 ,548,8,--,11,--
Kesoram Industries,3.7,111 ,515,9,--,15,--
Chaitanya Projects Consultancy,3.9,206 ,600,16,6,10,--
21K School,3.6,109 ,251,9,4,4,--
Xome,4.2,123 ,700,14,--,30,--
Nuberg Engineering,3.7,219 ,985,15,13,20,--
Shiksha.com,3.4,137 ,451,15,--,11,--
Brinton Pharmaceuticals,4.2,256 ,556,16,1,50,1
Sagitec Solutions,3.3,201 ,1.6k,23,3,14,--
Nowfloats Technologies,2.7,382 ,1.1k,18,--,62,--
Institute of Liver & Biliary Sciences,4.2,109 ,416,3,--,9,--
Bajaj Steel Industries,3.3,176 ,1.1k,13,1,11,--
Dishnet Wireless,4.3,195 ,374,--,--,40,--
CP Plus,3.9,221 ,635,16,--,9,--
Basix,4.5,131 ,262,7,--,19,--
Karnataka Bank,3.8,256 ,1.1k,17,--,13,2
Alice Blue Commodities,3.2,143 ,767,10,9,10,--
Lam Research,3.8,339 ,2.5k,57,14,28,--
WWICS Group,3.3,141 ,411,12,--,4,--
Eglo India,3.3,183 ,770,18,--,17,--
Lloyds Engineering Works Limited,4.2,125 ,506,10,17,8,--
CG Corp Global,3.1,133 ,354,9,--,2,1
Hindustan Platinum,3.6,175 ,1.2k,20,11,16,--
State Street Global Advisors,3.7,220 ,2.2k,8,--,34,--
Edureka,3.0,276 ,1.4k,28,3,8,11
Eye7 Chaudhary Eye Centre,3.0,126 ,430,9,7,23,--
Gemba Concepts,3.2,116 ,340,15,23,5,4
Linfox Logistics,4.1,228 ,646,5,--,19,5
Reliance Money,4.3,224 ,804,4,--,19,--
APC By Schneider Electric,4.4,132 ,267,7,--,26,--
Sun Vacuum Formers,3.9,214 ,762,18,--,25,--
Choksi Laboratories,2.7,112 ,484,3,5,7,--
Glance,3.3,113 ,818,17,15,2,7
AONE OUTSOURCING SOLUTIONS,4.7,206 ,314,19,--,31,15
Saifee Hospital,3.0,133 ,492,8,2,13,--
Victora Industries,3.7,206 ,741,12,--,--,--
Wapcos,3.3,745 ,2.3k,38,--,38,--
SpeedLabs,3.6,208 ,434,14,16,14,--
Anion Healthcare Services,3.9,191 ,648,13,4,58,--
HIVELOOP LOGISTICS,4.2,199 ,413,4,--,1,--
MJ Biopharm,3.5,327 ,1.4k,20,13,25,1
11:11 Systems,3.4,235 ,1.4k,17,1,44,7
Petronas Lubricants,3.2,201 ,680,19,5,21,--
Hungama,3.2,130 ,759,7,--,21,--
Nesto Hypermarket,3.8,132 ,364,11,1,7,1
Ideas 4 Transformation,3.1,129 ,466,5,4,3,--
Fi,3.5,107 ,577,25,--,--,9
The KCP,4.1,260 ,961,18,2,28,1
Workcell Solutions,3.7,377 ,1.2k,27,2,2,8
Lanson Toyota,4.2,170 ,501,7,4,9,2
Rotostat Services,3.8,208 ,792,18,7,16,--
Scc Infrastructure,3.8,221 ,666,19,--,8,--
Dun & Bradstreet,3.1,417 ,2.9k,43,20,46,12
Veolia,4.0,214 ,886,13,--,7,--
Webvio Technologies,4.3,159 ,256,12,11,12,25
Suzuki,3.8,364 ,1.2k,38,--,61,--
Talentpro,3.8,632 ,2.3k,33,78,49,--
Orchid Pharma,3.7,342 ,1.1k,45,--,17,--
Desai Construction,4.2,157 ,546,10,4,23,12
Sinch,3.6,168 ,1.2k,16,12,9,--
G Square Housing,3.8,133 ,493,11,30,3,13
Audi,3.8,355 ,1.2k,16,--,52,3
Galore Networks,3.0,128 ,270,3,--,14,--
R.k.industries,3.7,124 ,647,2,--,5,--
Hiranandani Financial Services,4.4,963 ,949,204,17,14,18
Sata Vikas India,3.5,335 ,935,33,--,39,--
Sovereign Pharma,3.8,137 ,630,5,--,15,--
Mfine,3.7,197 ,1.2k,24,--,31,3
Hamad Medical Corporation,4.1,114 ,244,5,--,18,--
Nagravision,3.6,117 ,827,18,--,12,--
Madina Group,4.5,300 ,518,24,--,45,--
Arjas Steel,3.9,382 ,1.2k,24,1,34,--
Arco Lab,4.2,109 ,1.1k,14,43,8,--
Oncospark India Private Limited,3.8,115 ,588,8,6,5,2
SKETS Studio,3.5,199 ,753,28,--,24,36
Ksolves India Limited,3.0,191 ,1k,57,20,3,29
Hindustan Colas,3.4,142 ,568,13,--,13,--
Adani Logistics,3.7,413 ,1.7k,16,--,12,2
Umedica Laboratories,3.6,222 ,1.1k,13,11,11,--
Nice Software Solutions,2.8,118 ,984,13,5,5,6
Jamboree Education,3.4,169 ,638,12,5,14,3
Prudent Corporate Advisory Services,4.1,161 ,540,8,--,10,--
SkillVertex,3.3,212 ,287,17,3,66,--
Maharashtra State Power Generation Company,4.1,109 ,212,--,--,9,--
Emiza Supply Chain Services Private Limited,3.5,195 ,703,10,--,11,1
IDA Automation,3.8,128 ,523,9,--,5,--
HP Global e-Business Operations,4.3,116 ,505,9,--,19,--
Sterling Auxiliaries,3.2,137 ,775,9,--,11,--
SIAC SKH India Cabs Manufacturing,3.8,215 ,752,23,--,14,--
Groupe Seb,3.4,175 ,728,11,--,15,--
Rus Education,4.4,142 ,300,25,2,2,1
Lite Bite Foods,4.4,474 ,1.2k,22,6,53,3
Mirafra Technologies,3.8,291 ,2.7k,58,93,14,--
Lithium Urban Technologies,3.5,178 ,665,9,3,5,7
Roha Housing Finance,3.6,182 ,602,8,--,5,--
Signity Software Solutions,4.1,131 ,313,5,16,20,14
Bop Realty,4.7,111 ,283,8,9,3,1
Isc Projects,3.9,262 ,776,18,--,20,--
B.L. Agro Industries,3.6,172 ,681,8,--,1,--
Pritam International,3.4,158 ,643,10,25,6,--
Tata Power Delhi Distribution,3.7,637 ,2.8k,34,7,62,2
Normet,3.9,263 ,1k,18,7,32,1
Enercon,4.1,153 ,494,12,3,14,1
Labvantage Solutions,3.7,119 ,704,22,17,5,3
Intech Creative Services,3.7,114 ,821,13,8,6,--
Tatsuno India,3.1,109 ,429,6,2,9,--
Sterling Biotech,4.1,157 ,728,6,1,21,--
Prasol Chemicals,3.6,193 ,1.2k,24,7,13,--
Amanta Healthcare,4.1,160 ,597,7,--,21,--
Muthoot Pappachan Group,3.9,273 ,900,14,--,15,1
F5 Networks,3.2,149 ,1.5k,25,87,12,--
Checkmate Services,3.9,298 ,841,19,1,20,2
Bullmen Realty,3.0,189 ,754,19,7,3,--
SATTRIX Information Security,2.9,125 ,485,14,--,10,--
Ester Industries,4.0,187 ,784,10,1,20,--
MBit Computraining,3.7,152 ,581,18,--,5,3
Magnasoft Consulting India,3.4,232 ,947,19,3.8k,14,--
CGS,3.6,161 ,914,25,3,15,--
Shimizu,4.1,156 ,558,14,--,18,--
World Health Organization,3.9,185 ,340,16,1,14,--
Chitkara University,4.0,207 ,678,17,13,27,1
Omega,3.8,166 ,706,33,1,8,--
Adani Solar,3.6,282 ,1.1k,36,--,113,--
Emrill Services LLC,4.1,133 ,169,7,--,16,--
AYTB,3.9,160 ,338,14,--,20,--
Apollo Supply Chain,3.9,161 ,593,10,1,4,6
Regus,3.2,121 ,456,5,2,18,--
Casio India Company,3.4,235 ,862,24,--,22,--
Harita Fehrer,4.3,112 ,466,4,--,10,1
UNITILE,4.7,317 ,361,43,15,98,54
More Mega Store,4.2,152 ,514,7,--,23,--
Electrical Research & Development Association,3.8,304 ,922,16,2,31,1
Moveinsync Technology Solutions,3.1,232 ,1.4k,33,9,15,7
JP Infra,3.8,249 ,1.3k,23,14,27,--
Vardhman Acrylics,3.6,113 ,540,8,--,4,--
BGR Energy Systems,3.8,883 ,3.2k,47,--,121,--
Defsys Solutions,3.7,122 ,645,9,8,14,--
Petrofac Engineering India,4.5,220 ,1k,11,--,18,--
Maintec Technologies,3.7,137 ,856,10,1,10,5
LinkedIn,4.0,219 ,2.2k,72,--,16,9
Vensure Employer Services,3.8,191 ,236,45,34,1,39
Hinduja Tech,3.2,488 ,3.2k,33,92,25,--
Mindcrest,2.5,146 ,593,5,--,25,--
Toyoda Gosei South India,4.1,120 ,461,9,--,4,1
Kuantum Papers,4.2,171 ,671,8,1,12,--
Anand Rathi Wealth Management,3.2,175 ,1.2k,25,--,8,1
Burman Hospitality,3.8,182 ,652,10,8,15,--
SBL Knowledge Services,2.9,173 ,907,15,--,9,--
Hansa Direct,3.4,160 ,476,8,--,17,--
Sarens Heavy Lift India,3.8,112 ,470,2,--,7,--
Hettich,3.7,571 ,2.3k,42,3,37,1
Jagannath Gupta Institute of Medical Sciences & Hospital,3.5,111 ,429,4,2,8,--
John Cockerill,3.1,163 ,819,9,56,15,--
Noble Hospital,3.8,129 ,559,5,4,7,--
Sand Martin Consultants,2.9,221 ,869,29,--,18,--
AMPLUS SOLAR,4.3,163 ,808,6,--,16,--
Kraft Heinz Company,2.9,336 ,1.3k,28,44,28,1
Sony Pictures Networks,3.6,147 ,871,7,--,2,--
Shivalik Small Finance Bank,3.8,631 ,1.7k,62,7,46,3
Market Xcel Data Matrix,2.7,176 ,610,12,2,9,2
Continental Coffee,4.1,129 ,440,5,--,6,--
Motion Education,3.4,202 ,885,16,53,2,5
Colan Infotech,3.4,133 ,1.2k,24,42,17,--
Ata Freight Line,3.4,126 ,399,20,2,12,--
Manohar Filaments,3.7,194 ,906,12,3,9,2
Pearson,3.8,140 ,919,8,--,10,9
Emami Agrotech,3.9,662 ,2.5k,43,--,54,--
Bhanzu,3.8,915 ,1.2k,191,4,2,22
Vistaprint,3.4,116 ,459,11,--,17,--
ApplyBoard,2.5,142 ,588,10,21,2,3
Cognifyz Technologies,4.0,130 ,98,10,--,--,--
CAPLIN STERILES,2.7,150 ,1k,8,4,8,--
Jindal India Thermal Power,3.8,240 ,972,23,--,17,--
Growisto,4.3,129 ,307,14,3,13,7
Mindspace Outsourcing Services,3.5,108 ,277,5,11,14,--
Biryani By Kilo,4.2,205 ,710,6,--,7,2
Perceptive,3.5,128 ,827,12,13,11,20
STYLAM Industries,3.5,278 ,1.1k,15,3,11,1
Indian Immunologicals,4.2,434 ,1.7k,23,--,47,--
Golden Tulip Hotels,3.3,127 ,425,7,--,15,4
Rashtriya Chemicals and Fertilizers,4.4,338 ,842,18,--,17,--
Complere Infosystem,4.3,135 ,149,9,--,13,87
Indo Nissin Foods,4.0,215 ,664,7,--,18,--
Hindustan Shipyard,4.1,127 ,397,13,--,6,1
Amrapali Group,3.2,108 ,277,1,--,15,--
DY Patil University,3.5,112 ,680,9,--,8,--
Indusind Marketing & Financial Services,3.7,730 ,1.5k,32,--,60,--
LUX Industries,3.6,225 ,975,10,3,11,--
Srijan Technologies,3.2,153 ,906,20,15,18,--
RealEstateIndia.com,4.9,161 ,1.4k,1,--,2,8
CEVA Logistics,3.8,375 ,1.3k,13,3,28,--
BARSYL,3.8,111 ,340,10,70,13,1
Takata,4.2,107 ,269,2,--,21,--
E-Solutions,3.5,317 ,1.5k,14,--,8,--
Vkc Nuts,3.5,133 ,522,8,--,3,--
Sanmarg Projects,4.0,279 ,918,21,1,21,--
IonIdea,3.2,153 ,834,16,4,8,1
Baggit,2.6,158 ,551,6,--,10,--
INOXCVA,3.3,171 ,735,8,--,5,--
Boston Institute of Analytics,4.3,204 ,218,86,1,3,4
DMI DRAEXLMAIER MANUFACTURING,3.9,132 ,475,8,--,9,--
Teleminds Infotech,2.8,179 ,654,13,2,19,3
Sterlite Industries,3.9,159 ,612,6,--,23,--
Shrachi Group,2.6,150 ,436,6,50,12,--
Fortune Business Insights,3.4,118 ,386,13,1,27,--
Verticurl,3.1,209 ,1.9k,11,--,14,--
Arch Pharmalabs,3.9,144 ,645,5,--,14,--
India Nippon Electricals,3.8,413 ,1.6k,23,4,55,--
Transact Global,4.7,381 ,411,88,12,13,3
Nava Bharath Fertilizers,3.6,109 ,215,6,8,18,--
Reebok,4.3,114 ,295,7,--,15,5
Jupiter Money,2.5,125 ,939,34,--,4,3
Greenway Health,2.9,220 ,1.2k,28,11,7,--
Unified Infotech,4.3,129 ,460,25,9,8,--
Jaguar Land Rover,4.0,298 ,1.7k,32,1,21,5
Delta Technology,3.6,137 ,1.1k,6,5,9,--
ADARSH DEVELOPERS,4.3,227 ,695,12,--,21,--
Ocl Iron & Steel,3.6,145 ,456,16,--,2,--
UL Solutions,3.9,206 ,751,14,26,1,--
ITDOSE INFOSYSTEMS,3.2,110 ,451,15,15,5,--
Mallcom,3.8,133 ,390,7,16,11,--
Bharatiya Vidya Bhavan,3.9,120 ,300,2,--,17,--
Fibe,3.6,198 ,1.2k,16,24,13,6
Feedback Energy Distribution Company,3.5,180 ,567,7,--,18,--
Purnartha Investment Advisors,4.1,218 ,722,20,6,9,7
Magnum Mi Steel,3.6,120 ,428,8,2,2,--
Rigved Technologies,3.8,131 ,655,27,11,2,--
KayBee Bio Organics,3.6,180 ,346,27,12,2,2
MCaffeine,2.8,122 ,462,11,4,3,9
JGC Corporation,4.4,260 ,564,38,5,15,8
Sigma Freudenberg NOK,4.1,198 ,923,10,--,20,--
Enterprise Growth Accelerator,3.5,379 ,635,11,--,4,--
Foundit,3.2,374 ,1.9k,35,3,1,--
GlobalHunt,3.1,112 ,710,14,--,21,--
SOTI,3.1,149 ,1.4k,24,12,13,--
Holy Family Hospital,3.6,175 ,640,7,25,10,--
Hind Terminals,4.1,141 ,707,6,--,12,--
Ameriprise Financial,3.7,723 ,5k,72,3,96,--
Inlead Electronics,4.0,302 ,940,11,--,41,--
Espire Infolabs,2.5,438 ,2.5k,27,27,24,3
Lapiz Digital Services,2.9,215 ,1.1k,13,16,15,--
Jubilant Pharmova,3.7,941 ,3.3k,61,16,113,5
Cadence Design Systems,3.8,318 ,2.9k,65,135,39,--
Lakshmikumaran & Sridharan,3.5,141 ,524,9,9,11,--
Bajel Projects,4.2,201 ,564,20,5,--,--
Al Bawani Co.,3.9,110 ,195,12,--,15,--
Caplin Point Laboratories,3.5,253 ,1.3k,17,13,13,--
Supple Tek Industries,3.2,156 ,481,14,6,7,1
inTarvo Technologies,4.4,119 ,349,1,--,16,--
Scientific Games,3.4,163 ,283,--,1,1,--
Max Data Entry Services,4.0,111 ,15,10,--,31,--
Borosil Glass Works,3.7,340 ,1.6k,13,1,22,--
Astra Microwave Products,4.0,406 ,2k,32,8,27,--
ABCD,4.0,226 ,5.1k,96,--,12,--
Wallace Pharmaceuticals,3.8,286 ,820,17,1,31,--
Haldia Petrochemicals,3.8,410 ,1.9k,40,4,46,3
Ognibene India,3.7,161 ,881,10,--,13,--
Orange City Water,3.9,156 ,452,6,--,8,--
Aditya Vision,4.0,125 ,298,12,15,3,1
Billroth Hospitals,3.7,160 ,593,5,13,9,--
Muthoot Housing Finance Company,4.1,369 ,1.2k,30,22,9,6
Karma Ayurveda,3.8,127 ,391,6,--,17,--
Sewa Grih Rin,3.4,213 ,835,7,--,7,--
HEUBACH Colour,4.0,184 ,911,11,--,19,--
Konica Minolta Business Solutions India Pvt. Ltd.,4.0,285 ,1.2k,33,7,31,21
Parker Hannifin,3.7,200 ,982,6,7,14,--
Vishnu Solutions,3.7,123 ,329,6,--,6,--
Ajnara India,3.6,128 ,465,3,--,11,--
Epitome Components,3.2,189 ,825,14,1,6,--
Unique Infra Engineering India Private Limited,3.0,130 ,556,12,--,4,1
Affine,3.2,191 ,1.4k,54,7,13,3
Technofab Engineering,4.1,138 ,444,2,--,22,--
Malpani Group,4.1,133 ,547,7,10,4,--
Essel Mining & Industries,4.3,254 ,690,17,--,14,3
Harita Techserv,3.4,226 ,1.2k,21,--,18,--
Omega Healthcare Solutions,3.7,260 ,1.8k,38,--,21,--
Panda Retail Company,4.2,137 ,177,3,--,24,--
Nyx-medical Solutions,3.3,188 ,710,15,2,4,1
Sudhir Power,3.7,248 ,1k,19,10,25,--
